sample_name,tsp_length,tsp_GC_per,tsp_GC_skew,rib_length,rib_GC_per,rib_GC_skew,tsp_GC3s,rib_GC3s,tsp_cost_per_aa,rib_cost_per_aa,tsp_ENc,rib_ENc,ENc_diff,rib_GC3s_skew,tsp_GC3s_skew,fungi_gs,fungi_gc_genome
GH3,444.817895940537,53.3223070325901,0.0953644939965695,454.22208847427,54.6385073728559,0.0385073728558531,0.6275241,0.6405921,23.33626,23.16604,53.2540635284018,54.5031005418423,-0.023454304,-0.021093051,-0.02732289,55.6011448919361,48.174967151444
GH4,427.219137120888,54.2139352840666,0.659228961982059,442.584716157205,54.7965917030568,0.324539301310044,0.6359948,0.642843,23.14467,23.11742,54.084645719782,54.6090970703979,-0.009696862,-0.018243829,-0.02004475,53.0569905143056,48.9988538338088
GH5,449.482700421941,52.8106497890295,0.0944102564102564,455.708078431373,53.8276125490196,-0.168327843,0.6243606,0.6354947,23.4229,23.26042,52.229539161521,53.0964787183917,-0.016598645,-0.024848978,-0.02933023,53.932426026394,48.5902323565809
GTS1,486.115497296808,49.2018642967169,-0.139326618,471.704121306376,51.7904659149819,-0.356107439,0.590643,0.6174094,24.03071,23.61876,51.46958563,50.8970515397083,0.011123736,-0.030984215,-0.02861964,44.7615090141277,48.4604789853188
GTS2,513.336042286092,49.6096372646184,-0.234290387,482.635103053847,51.1203167152261,-0.260209885,0.5963233,0.6170881,23.9412,23.69228,50.7859062355353,49.1824056578308,0.031573732,-0.037262349,-0.03237736,40.04511195,47.576650703057
GTS3,494.49214423986,49.3697951649935,-0.1845787,465.156294475353,51.4744242463449,-0.344047742,0.5931264,0.6138603,24.00104,23.65163,51.3908423076345,50.3309344463858,0.02062445,-0.031428738,-0.02954366,46.6362641867544,46.9701362530538
GTS4,492.73907629256,49.4410611601513,-0.269144861,471.732954920467,51.3026988317603,-0.4247119,0.5937994,0.6123826,23.97697,23.6999,51.1084223894489,50.1909889747145,0.017950729,-0.034238641,-0.0309107,43.1256901389634,48.1424093448565
GTS5,458.044809616189,51.0468503937008,-0.103913424,458.721588674794,53.5157753309739,0.188060034080482,0.6095622,0.6352569,23.72787,23.34843,51.7690073459445,51.9209979019145,-0.002935937,-0.024328342,-0.03149076,47.0608484408216,47.9183572454654
HG1,705.47408060599,50.304626691338,-0.286784347,514.995884773663,50.8186619953287,-0.357835613,0.6035668,0.6100562,23.86065,23.77695,53.246514863571,51.4518620868727,0.033704606,-0.031312737,-0.02595758,57.6473320343938,49.0059466572752
HG2,648.540679425977,50.105769894451,-0.325259493,515.510235131397,50.6382660212079,-0.275000461,0.6015829,0.6068727,23.94486,23.8143,53.232697851708,50.8246678660393,0.045235919,-0.031902132,-0.02655701,61.3909141555428,48.6478917214516
